"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.897616667E-2,-6.950716808E-2,1.154608744E-1,7.801881373E-2,1.557221732E-1
5.902316669E-2,-1.957706273E-2,1.002575290E-1,1.063655305E-1,1.474735895E-1
6.906916667E-2,-1.726785108E-2,5.796695709E-2,2.095396507E-1,2.180945025E-1
7.911616669E-2,-1.401387557E-2,6.051283479E-2,2.566079825E-1,2.640186519E-1
8.916216667E-2,1.348850325E-2,1.882803440E-2,2.577230465E-1,2.587616728E-1
9.920916668E-2,-7.146963984E-2,-6.262367964E-3,3.125529724E-1,3.206812861E-1
1.092551667E-1,-1.785124241E-1,2.527166605E-3,3.641792089E-1,4.055854636E-1
1.193021667E-1,-1.502556083E-1,-4.916338921E-2,3.544289768E-1,3.880897915E-1
1.293481667E-1,-3.823245808E-2,-9.866240859E-2,1.857309580E-1,2.137568256E-1
1.393951667E-1,-5.318627357E-3,-7.909177780E-2,1.156696200E-1,1.402257398E-1
1.494411667E-1,2.088274598E-2,2.023721337E-3,6.320255399E-3,2.191187249E-2
1.594882500E-1,-1.823132604E-2,4.740220785E-2,4.025223255E-2,6.480426517E-2
1.695342500E-1,-6.208047330E-2,-2.625399828E-2,1.378539562E-2,6.879894421E-2
1.795812500E-1,-4.817184761E-2,5.347746491E-2,-3.385596335E-2,7.953987937E-2
1.896272500E-1,-1.386370446E-1,1.838662809E-1,5.704017341E-2,2.372353700E-1
1.996742500E-1,-2.074937099E-1,3.252145332E-1,1.253958786E-1,4.056380882E-1
2.097202500E-1,-5.715150440E-1,4.033643246E-1,2.549929816E-1,7.445492895E-1
2.197672500E-1,-7.720121218E-1,5.038025326E-1,2.292102689E-1,9.499247630E-1
2.298132500E-1,-7.878168534E-1,5.482144743E-1,1.644067472E-1,9.737679820E-1
2.398602500E-1,-7.226299006E-1,4.982973790E-1,5.505855203E-2,8.795030957E-1
2.499062500E-1,-7.045409542E-1,5.955207878E-1,5.361370504E-2,9.240656872E-1
2.599532500E-1,-8.155933204E-1,5.262716281E-1,7.040223062E-2,9.731961596E-1
2.699992500E-1,-5.540638827E-1,5.533664560E-1,-9.158143044E-2,7.884087640E-1
2.800462500E-1,-4.271124986E-1,5.374988669E-1,-1.923687172E-1,7.129767470E-1
2.900922500E-1,-4.664087114E-1,3.784107471E-1,-1.200567859E-1,6.124911521E-1
3.001392500E-1,-5.077520344E-1,3.575724399E-1,4.298989892E-2,6.225096863E-1
3.101852500E-1,-3.992348747E-1,3.255788147E-1,2.833812135E-1,5.879582995E-1
3.202322500E-1,-3.746338112E-1,2.047349936E-1,2.650227106E-1,5.024977086E-1
3.302782500E-1,-2.059231478E-1,1.053761816E-1,2.315719593E-1,3.273133892E-1
3.403252500E-1,-1.080604921E-1,-1.672069788E-2,2.165241498E-1,2.425682566E-1
3.503712500E-1,5.595785379E-3,-6.557886243E-2,1.813057852E-1,1.928825750E-1
3.604182500E-1,9.320403278E-2,-6.693775535E-2,1.146791017E-1,1.622311659E-1
3.704642500E-1,8.952788830E-2,-1.268500811E-1,6.582269132E-2,1.686381112E-1
3.805112500E-1,7.973804131E-2,-1.161099154E-1,8.693581760E-2,1.655219141E-1
3.905572500E-1,1.409779043E-1,-1.396812111E-1,8.729659081E-2,2.168093748E-1
4.006042500E-1,2.400821431E-1,-2.367444062E-1,9.281870127E-2,3.497179730E-1
4.106502500E-1,3.244552723E-1,-4.074222922E-1,2.390031856E-1,5.730503212E-1
4.206972500E-1,3.501736656E-1,-5.549563140E-1,4.063317865E-1,7.718183900E-1
4.307432500E-1,2.550830287E-1,-5.964025480E-1,5.664104247E-1,8.611527855E-1
4.407902500E-1,1.336305124E-1,-5.715103662E-1,6.204901528E-1,8.541014239E-1
4.508362500E-1,6.038828909E-2,-3.855425960E-1,6.166438544E-1,7.297530280E-1
4.608832500E-1,1.173129800E-1,-3.137294322E-1,6.213075936E-1,7.058410712E-1
4.709292500E-1,2.586135775E-1,-3.692388046E-1,4.427307039E-1,6.318455139E-1
4.809762500E-1,3.672355485E-1,-3.224090391E-1,2.554268450E-1,5.514094755E-1
4.910222500E-1,3.268397668E-1,-1.817706388E-1,4.839272618E-2,3.771029757E-1
5.010692500E-1,3.248532118E-1,-9.302920103E-3,-1.617971349E-1,3.630350760E-1
5.111152500E-1,3.079222700E-1,6.142733932E-2,-2.724077439E-1,4.156866865E-1
5.211622500E-1,3.074778816E-1,-3.393723965E-3,-2.653296894E-1,4.061453054E-1
5.312082500E-1,2.833964163E-1,-1.012047780E-1,-2.680270100E-1,4.029819027E-1
5.412552500E-1,3.407997384E-1,-2.969800830E-2,-2.758026373E-1,4.394240869E-1
5.513012500E-1,2.341336244E-1,-3.195737243E-2,-2.463151288E-1,3.413370335E-1
5.613482500E-1,1.195015928E-1,-6.317331791E-2,-2.424442720E-1,2.775801215E-1
5.713942500E-1,5.887970746E-2,-7.147344053E-2,-2.811329591E-1,2.959915765E-1
5.814412500E-1,-5.740679383E-2,-8.928172052E-2,-1.537022495E-1,1.867917212E-1
5.914872500E-1,1.137926638E-2,-2.394083977E-1,5.161337256E-2,2.451730181E-1
6.015342500E-1,5.943607002E-2,-1.240252912E-2,1.658159262E-1,1.765825318E-1
6.115802500E-1,-1.163358372E-2,-2.264357650E-1,1.707796276E-2,2.273766759E-1
6.216272500E-1,9.167648423E-2,-1.893404442E-1,-4.198593199E-2,2.145162000E-1
6.316732500E-1,-2.399668068E-2,-3.121886909E-2,-1.310898972E-1,1.368759278E-1
6.417202500E-1,-1.055238238E-1,-1.315196675E-1,-1.054112649E-1,1.988573235E-1
6.517662500E-1,8.738663793E-3,-1.047324032E-1,1.027332401E-1,1.469672043E-1
6.618132500E-1,1.384456944E-1,-1.173419237E-1,1.860513854E-1,2.599066282E-1
6.718592500E-1,2.901993594E-1,-1.610826051E-1,1.378872854E-1,3.594108753E-1
6.819062500E-1,2.825707895E-1,-1.183014518E-1,2.854142904E-2,3.076623112E-1
6.919522500E-1,3.042569429E-1,-4.653214216E-2,-1.309483945E-1,3.344921667E-1
7.019992500E-1,3.584851903E-1,1.117870688E-1,-2.968701553E-1,4.786855644E-1
